stockCode,stockName
A032830,삼성생명
A032850,비트컴퓨터
A032860,GMR 머티리얼즈
A032940,원익
A032960,동일기연
A032980,바이온
A033030,지오엠씨
A033050,제이엠아이
A033100,제룡전기
A033110,이디
A033130,디지틀조선
A033160,엠케이전자
A033170,시그네틱스
A033180,필룩스
A033200,모아텍
A033230,인성정보
A033240,자화전자
A033250,체시스
A033270,유나이티드제약
A033290,코웰패션
A033310,디케이디앤아이
A033320,제이씨현시스템
A033340,좋은사람들
A033430,디에스티
A033480,제주국제컨벤
A033500,동성화인텍
A033530,세종공업
A033540,파라텍
A033560,블루콤
A033600,에이코넬
A033640,네패스
A033660,아주캐피탈
A033780,KT&G
A033790,스카이문스테크놀로지
A033830,티비씨
A033920,무학
A034020,두산중공업
A034120,SBS
A034220,LG디스플레이
A034230,파라다이스
A034300,신세계건설
A034310,NICE
A034590,인천도시가스
A034730,SK
A03473K,SK우
A034810,해성산업
A034830,한국토지신탁
A034940,조아제약
A034950,한국기업평가
A035000,지투알
A035080,인터파크홀딩스
A035150,백산
A035200,프럼파스트
A035250,강원랜드
A035290,더블유에프엠
A035420,NAVER
A035430,드림라인
A035460,기산텔레콤
A035480,마제스타
A035510,신세계 I&C
A035600,KG이니시스
A035610,솔본
A035620,바른손이앤에이
A035720,카카오
A035760,CJ ENM
A035810,이지바이오
A035890,서희건설
A035900,JYP Ent.
A036000,예림당
A036010,아비코전자
A036030,KTH
A036090,위지트
A036120,SCI평가정보
A036150,에스피반도체
A036170,씨티젠
A036180,영인프런티어
A036190,금화피에스시
A036200,유니셈
A036220,오상헬스케어
A036260,이매진아시아
A036420,제이콘텐트리
A036460,한국가스공사
A036480,대성미생물
A036490,SK머티리얼즈
A036530,S&T홀딩스
A036540,SFA반도체
A036560,영풍정밀
A036570,엔씨소프트
A036580,팜스코
A036620,버추얼텍
A036630,세종텔레콤
A036640,HRS
A036670,KCI
A036690,코맥스
A036710,심텍홀딩스
A036800,나이스정보통신
A036810,에프에스티
A036830,솔브레인
A036840,휴코드
A036890,진성티이씨
A036930,주성엔지니어링
A037030,파워넷
A037070,파세코
A037230,한국팩키지
A037270,YG PLUS
A037330,인지디스플레
A037350,성도이엔지
A037370,EG
A037400,우리조명
A037440,희림
A037460,삼지전자
A037560,CJ헬로
A037640,지에스엔텍
A037710,광주신세계
A037760,쎄니트
A037890,에어미디어
A037950,엘컴텍
A038010,제일테크노스
A038060,루멘스
A038070,서린바이오
A038110,에코플라스틱
A038160,팍스넷
A038290,마크로젠
A038340,UCI
A038390,레드캡투어
A038460,바이오스마트
A038500,삼표시멘트
A038520,오리엔트전자
A038530,골드퍼시픽
A038540,상상인
A038620,위즈코프
A038680,에스넷
A038710,콜마파마
A038870,에코바이오
A038880,아이에이
A038950,파인디지털
A039010,현대통신
A039020,이건홀딩스
A039030,이오테크닉스
A039130,하나투어
A039200,오스코텍
A039230,에이아이비트
A039240,경남스틸
A039290,인포뱅크
A039310,세중
A039340,한국경제TV
A039420,케이엘넷
A039440,에스티아이
A039490,키움증권
A039560,다산네트웍스
A039570,HDC아이콘트롤스
A039610,화성밸브
A039670,스포츠서울
A039740,한국정보공학
A039830,오로라
A039840,디오
A039860,나노엔텍
A039980,리노스
A040100,케이아이티
A040160,누리텔레콤
A040300,YTN
A040350,큐로컴
A040420,정상제이엘에스
A040470,코리아2000
A040480,코캄
A040610,SG&G
A040830,롯데글로벌로지스
A040870,파이널데이터
A040910,아이씨디
A041020,인프라웨어
A041140,넥슨지티
A041190,우리기술투자
A041440,에버다임
A041460,한국전자인증
A041500,대한바이오
A041510,에스엠
A041520,이라이콤
A041590,에너전트
A041650,상신브레이크
A041710,씽크풀
A041830,인바디
A041910,에스텍파마
A041920,메디아나
A041930,동아화성
A041960,코미팜
A042000,카페24
A042040,케이피엠테크
A042110,에스씨디
A042370,비츠로테크
A042380,세메스
A042420,네오위즈홀딩스
A042500,링네트
A042510,라온시큐어
A042520,한스바이오메드
A042600,새로닉스
A042660,대우조선해양
A042670,두산인프라코어
A042700,한미반도체
A042940,상지카일룸
A043090,팜스웰바이오
A043100,솔고바이오
A043150,바텍
A043200,파루
A043220,에이치엘비파워
A043260,성호전자
A043290,케이맥
A043340,에쎈테크
